Område;Sträcka nr;ID nr;År sedan åtgärd;Längd (m);Bredd innerslänt ;Bredd ytterslänt;Areal (m2);Groddplantor;Småplantor;Stora plantor;Små+stora;Alla;Utan lupiner;Med lupiner;Enbart groddplantor;Etablerade plantor;Enbart små lupiner;Fåtal stora lupiner;Många stora lupiner (> ca 10);Groddplantor;Småplantor;Stora plantor;Små+stora;Alla;Inom TRV;Utanför TRV;Inom+utanför TRV
Uppland;Av1550;1;3;65;2;2;260;109;130;35;165;274;;1;;1;;;1;0,419230769;0,5;0,134615385;0,634615385;1,053846154;11;5;16
Uppland;Av1550;2;3;71;2;2;284;44;75;9;84;128;;1;;1;;1;;0,154929577;0,264084507;0,031690141;0,295774648;0,450704225;0;10;10
Uppland;Av1570;1;3;29;1;1;58;3;35;30;65;68;;1;;1;;;1;0,051724138;0,603448276;0,517241379;1,120689655;1,172413793;4;10;14
Uppland;Av1586;1;3;32;2;3;160;21;17;1;18;39;;1;;1;;1;;0,13125;0,10625;0,00625;0,1125;0,24375;215;87;302
Uppland;Av1587;1;3;33;2;3;165;34;9;21;30;64;;1;;1;;;1;0,206060606;0,054545455;0,127272727;0,181818182;0,387878788;29;0;29
Uppland;Av1590;1;3;8;5;0;40;8;3;3;6;14;;1;;1;;1;;0,2;0,075;0,075;0,15;0,35;2;20;22
Uppland;Av1593;2;3;22;1;1;44;3;10;0;10;13;;1;;1;1;;;0,068181818;0,227272727;0;0,227272727;0,295454545;0;17;17
Uppland;Av1593;3;3;19;1;1;38;6;9;18;27;33;;1;;1;;;1;0,157894737;0,236842105;0,473684211;0,710526316;0,868421053;2;13;15
Uppland;Av1596;1;3;12;6;0;72;4;4;13;17;21;;1;;1;;;1;0,055555556;0,055555556;0,180555556;0,236111111;0,291666667;0;6;6
Uppland;Av1596;3;3;13;1;1;26;1;8;8;16;17;;1;;1;;1;;0,038461538;0,307692308;0,307692308;0,615384615;0,653846154;0;0;0
Uppland;Av1706;5;3;40;2;2;160;100;28;2;30;130;;1;;1;;1;;0,625;0,175;0,0125;0,1875;0,8125;1;21;22
Uppland;Av1707;1;3;10;1;4;50;9;29;2;31;40;;1;;1;;1;;0,18;0,58;0,04;0,62;0,8;8;0;8
Uppland;Av1707;3;3;11;2;3;55;0;0;0;0;0;1;;;;;;;0;0;0;0;0;4;0;4
Uppland;Av3206;1;3;5;2;0;10;0;0;0;0;0;1;;;;;;;0;0;0;0;0;3;2;5
Uppland;Av3207;1;3;34;2;1;102;1;1;1;2;3;;1;;1;;1;;0,009803922;0,009803922;0,009803922;0,019607843;0,029411765;19;1;20
Uppland;Av3207;2;3;43;2;1;129;5;35;9;44;49;;1;;1;;1;;0,03875969;0,271317829;0,069767442;0,341085271;0,379844961;19;59;78
Uppland;Av3207;4;3;36;1;1;72;0;15;5;20;20;;1;;1;;1;;0;0,208333333;0,069444444;0,277777778;0,277777778;31;50;81
Uppland;Av3207;5;3;19;1;1;38;1;1;0;1;2;;1;;1;1;;;0,026315789;0,026315789;0;0,026315789;0,052631579;9;0;9
Uppland;Av3207;6;3;15;1;1;30;0;4;4;8;8;;1;;1;;1;;0;0,133333333;0,133333333;0,266666667;0,266666667;1;4;5
Uppland;Av3207;8;3;38;2;2;152;30;36;41;77;107;;1;;1;;;1;0,197368421;0,236842105;0,269736842;0,506578947;0,703947368;37;55;92
Uppland;Av3207;9;3;17;2;0;34;60;25;10;35;95;;1;;1;;;1;1,764705882;0,735294118;0,294117647;1,029411765;2,794117647;2;37;39
Uppland;Av3208;2;3;4;1;1;8;0;0;0;0;0;1;;;;;;;0;0;0;0;0;0;0;0
Uppland;Av3212;1;3;7;1;1;14;0;0;0;0;0;1;;;;;;;0;0;0;0;0;0;0;0
Uppland;Av3615;1;3;8;1;1;16;0;0;1;1;1;;1;;1;;1;;0;0;0,0625;0,0625;0,0625;0;0;0
Uppland;Av3615;2;3;13;2;1;39;0;0;0;0;0;1;;;;;;;0;0;0;0;0;0;1;1
Uppland;Av3618;4;3;6;2;1;18;0;0;0;0;0;1;;;;;;;0;0;0;0;0;2;0;2
Uppland;Av3774;1;3;50;2;2;200;3;120;0;120;123;;1;;1;1;;;0,015;0,6;0;0,6;0,615;9;55;64
Uppland;Av3829;1;3;6;2;1;18;0;0;1;1;1;;1;;1;;1;;0;0;0,055555556;0,055555556;0,055555556;1;0;1
Uppland;Av3829;2;3;5;1;1;10;0;0;0;0;0;1;;;;;;;0;0;0;0;0;0;0;0
