ID_plt;ID#;ID;Point digging;Längd;Bredd innerslänt;Bredd ytterslänt;Area;Färg;Djup cm;Faktiskt djup cm;Digging.depth;Uneven digging depth;Year;Seedlings.inside;Big.inside;Small.inside;Big.outside.l;Small.outside.l;Big.outside.b;Small.outside.b;Big.outside.u;Small.outside.u;Total.big.outside;Datum inventering ;Inventerare 2023;Kommentar;;Surroundings;Orientation
3;;3;Yes;100;100;100;2;Grön;20;20-25;22,5;No;2023;0;0;0;0;0;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Garden;West
4;;4;Yes;100;100;100;2;Grön;20;25;25;No;2023;0;0;0;0;0;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Garden;West
5;;5;No;830;100;400;41,5;Blå;10;15-okt;12,5;No;2023;449;0;0;1;18;1;7;100;;102;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;Stort tätt bestånd direkt utanför;;Garden;East
7;A;7A;No;510;200;300;25,5;Blå;10;17-okt;13,5;No;2023;2;0;0;3;0;0;4;1;0;4;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Agricultural;East
7;B;7B;No;360;200;400;21,6;Grön;20;20;20;No;2023;0;0;0;3;2;0;0;0;0;3;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Agricultural;East
8;A;8A;No;400;200;200;16;Grön;20;18;18;Yes;2023;4;0;0;0;0;0;1;20;11;20;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Garden;East
8;C;8C;No;500;200;140;17;Blå;10;12;12;No;2023;0;0;0;0;0;0;0;1;0;1;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Garden;East
8;D;8D;No;470;200;150;16,45;Grön;20;20;20;No;2023;0;0;0;;;0;1;2;1;2;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;Går inte att ha plantor i längd. Markägaren har plockat vuxna med blomställning bort. Hela 8D till 8I.;;Garden;East
8;E;8E;No;570;200;150;19,95;Rosa;30;30;30;No;2023;2;0;0;;;0;0;2;2;2;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;Går inte att ha plantor i längd. Markägaren har plockat vuxna med blomställning bort. Hela 8D till 8I.;;Garden;East
8;F;8F;No;500;200;150;17,5;Blå;10;15;15;No;2023;0;0;0;;;0;0;12;3;12;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;Går inte att ha plantor i längd. Markägaren har plockat vuxna med blomställning bort. Hela 8D till 8I.;;Garden;East
8;G;8G;No;500;200;150;17,5;Grön;20;20;20;Yes;2023;0;0;0;;;0;0;11;5;11;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;Går inte att ha plantor i längd. Markägaren har plockat vuxna med blomställning bort. Hela 8D till 8I.;;Garden;East
8;H;8H;No;500;200;150;17,5;Rosa;30;30;30;No;2023;0;0;0;;;0;0;6;2;6;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;Går inte att ha plantor i längd. Markägaren har plockat vuxna med blomställning bort. Hela 8D till 8I.;;Garden;East
8;I;8I;No;270;100;100;5,4;Blå;10;12;12;No;2023;5;0;0;2;3;0;0;5;2;7;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;Går inte att ha plantor i längd. Markägaren har plockat vuxna med blomställning bort. Hela 8D till 8I.;;Garden;East
9;;9;No;860;100;300;34,4;Rosa;30;30;30;No;2023;2;0;0;0;0;0;0;50;5;50;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;Svårt att räkna utanför. 50 ungefär;;Agricultural;West
10;A;10A;No;450;200;200;18;Rosa;30;30;30;No;2023;17;0;0;0;3;0;0;5;2;5;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;Delen som går in tomten hade de flesta plantor;;Garden;East
10;B;10B;No;300;200;100;9;Blå;10;14;14;No;2023;0;0;0;;;0;0;15;;15;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;Går inte att ha plantor i längd.;;Garden;East
